chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,1,5,7,10}",6.122,8.600,18.600,0.381706
"{0,1,8,9,10}",6.122,10.400,19.800,0.308611
"{0,4,7,8,9}",6.126,9.800,19.000,0.353889
"{0,1,4,5,11}",6.126,10.200,20.600,0.333651
"{0,1,3,5,11}",6.137,10.200,21.000,0.288929
"{0,4,6,8,9}",6.140,9.400,20.000,0.328373
"{0,2,5,7,8}",6.141,9.200,19.200,0.351706
"{0,4,5,8,10}",6.141,9.600,20.200,0.338373
"{0,2,3,5,11}",6.159,10.200,22.000,0.300040
"{0,2,6,7,10}",6.174,9.400,20.000,0.355040
"{0,1,2,6,9}",6.174,9.600,20.000,0.345317
"{0,4,5,6,9}",6.192,9.800,20.200,0.338651
"{0,5,6,9,11}",6.192,10.400,23.200,0.335913
"{0,1,2,4,10}",6.193,10.600,22.000,0.279762
"{0,1,3,8,11}",6.202,9.600,19.000,0.325278
"{0,5,6,8,11}",6.204,10.400,23.200,0.312579
"{0,1,4,8,10}",6.205,9.200,19.800,0.351706
"{0,2,3,4,7}",6.209,9.800,18.400,0.332778
"{0,1,7,9,11}",6.209,10.200,21.000,0.318929
"{0,2,4,8,9}",6.212,9.400,20.000,0.361706
"{0,1,3,6,7}",6.216,10.200,23.000,0.333413
"{0,1,3,7,11}",6.220,10.000,21.200,0.323373
"{0,2,3,6,10}",6.238,9.400,20.000,0.338373
"{0,2,5,10,11}",6.246,10.600,22.200,0.323373
"{0,1,2,4,6}",6.257,10.200,21.000,0.286429
"{0,4,5,6,10}",6.257,10.600,22.800,0.318968
"{0,1,4,5,10}",6.258,9.400,19.800,0.345317
"{0,1,4,6,8}",6.268,9.400,20.000,0.348373
"{0,1,3,4,6}",6.268,10.200,22.000,0.290873
"{0,2,4,5,8}",6.276,9.600,20.200,0.315040
"{0,2,3,9,11}",6.295,10.200,21.400,0.330040
"{0,1,6,7,9}",6.321,10.200,23.000,0.336746
"{0,1,2,4,9}",6.329,9.600,19.000,0.336111
